Category,Occupation,All_workers,All_weekly,M_workers,M_weekly,F_workers,F_weekly
MANAGEMENT,Chief executives,1046,2041,763,2251,283,1836
MANAGEMENT,General and operations managers,823,1260,621,1347,202,1002
MANAGEMENT,Legislators,8,Na,5,Na,4,Na
MANAGEMENT,Advertising and promotions managers,55,1050,29,Na,26,Na
MANAGEMENT,Marketing and sales managers,948,1462,570,1603,378,1258
MANAGEMENT,Public relations and fundraising managers,59,1557,24,Na,35,Na
MANAGEMENT,Administrative services managers,170,1191,96,1451,73,981
MANAGEMENT,Computer and information systems managers,636,1728,466,1817,169,1563
MANAGEMENT,Financial managers,1124,1408,551,1732,573,1130
MANAGEMENT,Compensation and benefits managers,23,Na,7,Na,16,Na
MANAGEMENT,Human resources managers,254,1365,68,1495,186,1274
MANAGEMENT,Training and development managers,37,Na,17,Na,20,Na
MANAGEMENT,Industrial production managers,267,1485,221,1528,45,Na
MANAGEMENT,Purchasing managers,193,1348,109,1404,84,1226
MANAGEMENT,"Transportation, storage, and distribution managers",276,966,224,1006,52,749
MANAGEMENT,"Farmers, ranchers, and other agricultural managers",129,769,106,847,23,Na
MANAGEMENT,Construction managers,471,1329,429,1357,42,Na
MANAGEMENT,Education administrators,778,1423,282,1585,496,1252
MANAGEMENT,Architectural and engineering managers,110,1899,101,1892,10,Na
MANAGEMENT,Food service managers,763,742,389,820,374,680
MANAGEMENT,Funeral service managers,13,Na,10,Na,2,Na
MANAGEMENT,Gaming managers,19,Na,13,Na,6,Na
MANAGEMENT,Lodging managers,123,985,54,1171,68,902
MANAGEMENT,Medical and health services managers,592,1210,154,1422,438,1156
MANAGEMENT,Natural sciences managers,24,Na,11,Na,13,Na
MANAGEMENT,Postmasters and mail superintendents,20,Na,10,Na,10,Na
MANAGEMENT,"Property, real estate, and community association managers",401,914,171,1137,230,823
MANAGEMENT,Social and community service managers,305,1022,105,1142,200,965
MANAGEMENT,Emergency management directors,9,Na,6,Na,3,Na
MANAGEMENT,"Managers, all other",2803,1408,1717,1525,1085,1213
BUSINESS,"Agents and business managers of artists, performers, and athletes",27,Na,13,Na,14,Na
BUSINESS,"Buyers and purchasing agents, farm products",11,Na,9,Na,2,Na
BUSINESS,"Wholesale and retail buyers, except farm products",142,926,73,886,69,985
BUSINESS,"Purchasing agents, except wholesale, retail, and farm products",260,1009,136,1020,124,986
BUSINESS,"Claims adjusters, appraisers, examiners, and investigators",317,963,141,1134,176,824
BUSINESS,Compliance officers,235,1198,126,1375,109,1025
BUSINESS,Cost estimators,95,1232,83,1264,12,Na
BUSINESS,Human resources workers,592,1002,151,1158,441,984
BUSINESS,"Compensation, benefits, and job analysis specialists",63,998,12,Na,50,898
BUSINESS,Training and development specialists,107,990,42,Na,65,1037
BUSINESS,Logisticians,111,1028,66,1075,44,Na
BUSINESS,Management analysts,529,1431,291,1519,237,1348
BUSINESS,"Meeting, convention, and event planners",117,859,27,Na,90,840
BUSINESS,Fundraisers,62,1136,14,Na,48,Na
BUSINESS,Market research analysts and marketing specialists,203,1284,85,1411,118,1239
BUSINESS,"Business operations specialists, all other",186,1090,74,1461,112,969
BUSINESS,Accountants and auditors,1464,1132,618,1345,846,988
BUSINESS,Appraisers and assessors of real estate,42,Na,21,Na,21,Na
BUSINESS,Budget analysts,44,Na,17,Na,28,Na
BUSINESS,Credit analysts,17,Na,8,Na,9,Na
BUSINESS,Financial analysts,295,1426,168,1680,127,1171
BUSINESS,Personal financial advisors,407,1419,248,1738,159,1033
