school,conf,rk,w,l,wl,srs,sos,pts_for,pts_vs,pts_total,ap_pre,ap_high,ap_final,pts_diff,ncaa_result,ncaa_numeric,season,coaches,year
air-force,MWC,1,12.0,21.0,0.364,-2.99,1.08,73.1,75.1,148.2,30.0,30.0,30.0,-2.0,NA,0.0,2016-17,Dave Pilipovich (12-21),2016.0
air-force,MWC,2,14.0,18.0,0.438,-5.51,0.66,68.4,72.8,141.2,30.0,30.0,30.0,-4.3999999999999915,NA,0.0,2015-16,Dave Pilipovich (14-18),2015.0
air-force,MWC,3,14.0,17.0,0.452,-1.85,-0.71,65.7,65.1,130.8,30.0,30.0,30.0,0.6000000000000085,NA,0.0,2014-15,Dave Pilipovich (14-17),2014.0
air-force,MWC,4,12.0,18.0,0.4,-4.08,1.71,66.0,69.1,135.1,30.0,30.0,30.0,-3.0999999999999943,NA,0.0,2013-14,Dave Pilipovich (12-18),2013.0
air-force,MWC,5,18.0,14.0,0.563,4.18,4.28,70.0,67.8,137.8,30.0,30.0,30.0,2.200000000000003,NA,0.0,2012-13,Dave Pilipovich (18-14),2012.0
air-force,MWC,6,13.0,16.0,0.448,-0.45,2.14,61.6,62.0,123.6,30.0,30.0,30.0,-0.3999999999999986,NA,0.0,2011-12,"Jeff Reynolds (11-10), Dave Pilipovich (2-6)",2011.0
air-force,MWC,7,16.0,16.0,0.5,2.71,3.31,64.8,65.1,129.89999999999998,30.0,30.0,30.0,-0.29999999999999716,NA,0.0,2010-11,Jeff Reynolds (16-16),2010.0
air-force,MWC,8,10.0,21.0,0.323,-4.9,3.13,57.2,63.1,120.30000000000001,30.0,30.0,30.0,-5.899999999999999,NA,0.0,2009-10,Jeff Reynolds (10-21),2009.0
air-force,MWC,9,10.0,21.0,0.323,-2.99,2.37,58.7,62.5,121.2,30.0,30.0,30.0,-3.799999999999997,NA,0.0,2008-09,Jeff Reynolds (10-21),2008.0
air-force,MWC,10,16.0,14.0,0.533,0.44,0.19,58.7,57.2,115.9,30.0,30.0,30.0,1.5,NA,0.0,2007-08,Jeff Reynolds (16-14),2007.0
air-force,MWC,11,26.0,9.0,0.743,15.19,3.34,69.0,56.0,125.0,30.0,13.0,30.0,13.0,NA,0.0,2006-07,Jeff Bzdelik (26-9),2006.0
air-force,MWC,12,24.0,7.0,0.774,10.2,2.49,64.2,54.7,118.9,30.0,30.0,30.0,9.5,Lost First Round,1.0,2005-06,Jeff Bzdelik (24-7),2005.0
air-force,MWC,13,18.0,12.0,0.6,8.61,2.61,61.2,54.3,115.5,30.0,30.0,30.0,6.900000000000006,NA,0.0,2004-05,Chris Mooney (18-12),2004.0
air-force,MWC,14,22.0,7.0,0.759,9.12,0.08,59.9,50.9,110.8,30.0,25.0,30.0,9.0,Lost First Round,1.0,2003-04,Joe Scott (22-7),2003.0
air-force,MWC,15,12.0,16.0,0.429,1.71,1.46,57.3,57.0,114.3,30.0,30.0,30.0,0.29999999999999716,NA,0.0,2002-03,Joe Scott (12-16),2002.0
air-force,MWC,16,9.0,19.0,0.321,-0.95,3.23,57.3,61.5,118.8,30.0,30.0,30.0,-4.200000000000003,NA,0.0,2001-02,Joe Scott (9-19),2001.0
air-force,MWC,17,8.0,21.0,0.276,-3.57,1.99,57.5,63.0,120.5,30.0,30.0,30.0,-5.5,NA,0.0,2000-01,Joe Scott (8-21),2e3
air-force,MWC,18,8.0,20.0,0.286,-5.07,2.58,67.5,73.1,140.6,30.0,30.0,30.0,-5.599999999999994,NA,0.0,1999-00,Reggie Minton (8-20),1999.0
air-force,WAC,19,10.0,16.0,0.385,-4.0,2.53,76.2,80.2,156.4,30.0,30.0,30.0,-4.0,NA,0.0,1998-99,Reggie Minton (10-16),1998.0
air-force,WAC,20,10.0,16.0,0.385,-5.51,2.59,68.2,69.7,137.9,30.0,30.0,30.0,-1.5,NA,0.0,1997-98,Reggie Minton (10-16),1997.0
air-force,WAC,21,7.0,19.0,0.269,-4.94,1.15,67.9,72.1,140.0,30.0,30.0,30.0,-4.199999999999989,NA,0.0,1996-97,Reggie Minton (7-19),1996.0
air-force,WAC,22,5.0,23.0,0.179,-5.63,5.04,67.1,74.6,141.7,30.0,30.0,30.0,-7.5,NA,0.0,1995-96,Reggie Minton (5-23),1995.0
air-force,WAC,23,8.0,20.0,0.286,-4.05,4.95,67.2,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1994-95,Reggie Minton (8-20),1994.0
air-force,WAC,24,8.0,18.0,0.308,-6.27,2.41,69.7,NA,NA,30.0,30.0,30.0,NA,NA,0.0,1993-94,Reggie Minton (8-18),1993.0
