code,title,description,prereqs,credits,prereq_type,area
AMST101 , Introduction American Studies ," Introduces students to the interdisciplinary field of American Studies by examining concepts such as culture, identity, cultural practices, and globalization, as well as theories underlying these concepts. Engages key themes, especially constructions of difference and identity, cultures of everyday life, and America and the world. ", None ,3,None,AMST
AMST298C , Introduction to Asian American Studies ," The aggregate experience of Asian Pacific Americans, from developments in the countries of origin to their contemporary issues. The histories of Asian Pacific American groups as well as culture, politics, the media, and stereotypes, viewed from an interdisciplinary perspective. ", None ,3,None,AMST
AMST340 ," Introduction to History, Theories and Methods in American Studies "," Introduction to the process of interdisciplinary research, including research literatures, questions, first-hand sources and library and analytic methods in American Studies. Each student will craft a prospectus for original research. ", Must have completed AMST201; and 2 courses in AMST.  ,3,Hard,AMST
AMST418N , Asian American Public Policy ,  , None ,3,None,AMST
AMST450 , Seminar in American Studies ," Developments in theories and methods of American Studies scholarship, with emphasis upon interaction between the humanities and the social sciences in the process of cultural analysis and evaluation. ", AMST201 and AMST340; and 1 course in AMST.   ,3,Hard,AMST
AMST498J , Asian American Politics ," Students will gain a greater understanding of 1)the role of Asian Americans in US politics, 2) the political attitudes and behaviors of Asian Americans and 3)how to conduct research on Asian American politics. Though the class will concentrate on Asian Americans, issues related to Asian American politics will be examined within the larger context of America's multicultural political landscape. ", None ,3,None,AMST
AMST603 , Current Approaches to American Studies ," Builds on AMST601 and explores contemporary literature, theory, and intellectual issues in American Studies. ", None ,3,None,AMST
AMST856 , Museum Research Seminar , A research seminar focusing on the practice and presentation of cultural  and historical scholarship in museums and historical sites. Students will complete an original research project on the challenges and opportunities of public exhibition and interpretation of cultural and historical research. ," AMST655, ANTH655, or HIST610.   ",3,Flexible,AMST
AMST857 , Museum Scholarship Practicum ," Students devise and carry out a research program using the collections at the Smithsonian Institution or some other cooperating museum, working under joint supervision of a museum professional and a university faculty member. "," AMST856, ANTH856, or HIST810.   ",3,Flexible,AMST
BMGT190H , Introduction to Design and Quality ," QUEST students learn and apply design practices to design new products and services. Working in multidisciplinary teams, students use quality and process improvement methods to identify, analyze, and recommend solutions to real-world problems. ", None ,4,None,BMGT
BMGT210 , Foundations of Accounting for Non Business Majors ," Provides an understanding of the common statements that report a company's profitability and financial health, and are useful to all economic agents who are engaged with the firm.  Students will also recognize and understand managerial accounting as a system for accumulating and modeling information to support decision-making. ", None ,3,None,BMGT
BMGT302 , Designing Applications for Business Analytics ," Provides an introduction to structured programming with business applications. Programming logic and data structures are introduced. The course especially emphasizes hands-on exercises using Excel macros and Visual Basic for Applications (VBA), and covers business functions and analytics. ", BMGT301; or permission of BMGT-Robert H. Smith School of Business.   ,3,Flexible,BMGT
BMGT310 , Intermediate Accounting I , Comprehensive analysis of financial accounting topics related to financial statement preparation and external reporting. , BMGT221. ,3,Hard,BMGT
BMGT311 , Intermediate Accounting II , Continuation of BMGT310. , BMGT310. ,3,Hard,BMGT
