Code,Title,Description,Prereqs,Credits
INST126,Introduction to Programming for Information Science,"An introduction to computer programming for students with very limited or no previous programming experience. Topics include fundamental programming concepts such as variables, data types, assignments, arrays, conditionals, loops, functions, and I/O operations.",Minimum grade of C- in MATH115; or must have math eligibility of MATH140 or higher; or permission of instructor.,3
INST201,Introduction to Information Science,"Examining the effects of new information technologies on how we conduct business, interact with friends, and go through our daily lives. Understanding how technical and social factors have influenced the evolution of information society. Evaluating the transformative power of information in education, policy, and entertainment, and the dark side of these changes.",None,3
INST311,Information Organization,"Examines the theories, concepts, and principles of information, information representation and organization, record structures, description, and classification. Topics to be covered in this course include the methods and strategies to develop systems for storage, organization, and retrieval of information in a variety of organizational and institutional settings, as well as policy, ethical, and social implications of these systems.",Must have completed or be concurrently enrolled in INST201; or INST301.,3
INST314,Statistics for Information Science,"Basic concepts in statistics including measure construction, data exploration, hypothesis development, hypothesis testing, pattern identification, and statistical analysis. The course also provides an overview of commonly used data manipulation and analytic tools. Through homework assignments, projects, and in-class activities, you will practice working with these techniques and tools to create information resources that can be used in individual and organizational decision-making and problem-solving.",Must have completed or be concurrently enrolled in INST201; or must have completed or be concurrently enrolled in INST301. And minimum grade of C- in INST201 and INST301; and MATH115; and STAT100; and minimum grade of C- in MATH115 and STAT100.,3
INST326,Object-Oriented Programming for Information Science,"An introduction to programming, emphasizing understanding and implementation of applications using object-oriented techniques. Topics to be covered include program design and testing as well as implementation of programs.","1 course with a minimum grade of C- from (INST126, CMSC106); and must have completed or be concurrently enrolled in INST201 or INST301. And minimum grade of C- in INST201; or minimum grade of C- in INST301.",3
INST327,Database Design and Modeling,"Introduction to databases, the relational model, entity-relationship diagrams, user-oriented database design and normalization, and Structured Query Language (SQL). Through labs, tests, and a project, students develop both theoretical and practical knowledge of relational database systems.","1 course with a minimum grade of C- from (CMSC106, CMSC122, INST126); and must have completed or be concurrently enrolled in INST201 or INST301; and minimum grade of C- in INST201 and INST301.",3
INST335,Teams and Organizations,"Team development and the principles, methods and types of leadership will be a focus with an emphasis on goal setting, motivation, problem solving, and conflict resolution. This course examines the principles of managing team projects in organizations through planning and execution including estimating costs, managing risks, scheduling, staff and resource allocation, communication, tracking, and control.","1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in PSYC100.",3
INST346,Technologies Infrastructure and Architecture,"Examines the basic concepts of local and wide-area computer networking including an overview of services provided by networks, network topologies and hardware, packet switching, client/server architectures, network protocols, and network servers and applications. The principles and techniques of information organization and architecture for the Web environment will be covered along with such topics as management, security, authentication, and policy issues associated with distributed systems.","1 course with a minimum grade of C- from (INST201, INST301); and 1 course with a minimum grade of C- from (INST326, CMSC131); and minimum grade of C- in INST327.",3
INST352,Information User Needs and Assessment,"Focuses on use of information by individuals, including the theories, concepts, and principles of information, information behavior and mental models. Methods for determining information behavior and user needs, including accessibility issues will be examined and strategies for using information technology to support individual users and their specific needs will be explored.","1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in INST311.",3
INST354,Decision-Making for Information Science,"Examines the use of information in organizational and individual decision-making, including the roles of information professionals and information systems in informed decision-making through techniques such as data analysis and regression, optimization, sensitivity analysis, decision trees, risk analysis and business simulation models.",INST314.,3
INST362,User-Centered Design,"Introduction to human-computer interaction (HCI), with a focus on how HCI connects psychology, information systems, computer science, and human factors. User-centered design and user interface implementation methods discussed include identifying user needs, understanding user behaviors, envisioning interfaces, and utilizing prototyping tools, with an emphasis on incorporating people in the design process from initial field observations to summative usability testing.","1 course with a minimum grade of C- from (INST201, INST301); and minimum grade of C- in INST326; and minimum grade of C- in PSYC100.",3
INST377,Dynamic Web Applications,"An exploration of the basic methods and tools for developing dynamic, database-driven websites, including acquiring, installing, and running web servers, database servers, and connectability applications.",INST327.,3
INST408Y,Special Topics in Information Science; Privacy and Cybersecurity, ,,
INST408Z,Special Topics in Information Science; The Apollo Program at 50, ,,
